Prompt,Motions,IO,KRL_Code
"Seal package with dual-arm press and confirm","PTP + LIN","$OUT[9]=TRUE, WAIT SEC 2, $OUT[9]=FALSE","DEF Dual_Arm_Seal()
   PTP PRESS_PICK
   LIN PACKAGE_POS
   $OUT[9] = TRUE
   WAIT SEC 2
   $OUT[9] = FALSE
END"
"Scan and sort incoming item based on tag","PTP + LIN","$OUT[10]=TRUE, WAIT FOR $IN[6]","DEF Smart_Sort_Item()
   PTP ITEM_SCAN
   LIN SORT_BIN
   $OUT[10] = TRUE
   WAIT FOR $IN[6]
END"
"Insert circuit breaker into panel slot and secure","PTP + LIN","$OUT[1]=TRUE, WAIT SEC 2, $OUT[1]=FALSE","DEF Insert_Circuit_Breaker()
   PTP BREAKER_PICK
   LIN PANEL_SLOT
   $OUT[1] = TRUE
   WAIT SEC 2
   $OUT[1] = FALSE
END"
"Pick up fuel injector and fit into engine block","PTP + LIN","$OUT[3]=TRUE","DEF Fit_Fuel_Injector()
   PTP INJECTOR_POS
   LIN ENGINE_BLOCK
   $OUT[3] = TRUE
END"
"Apply adhesive along panel edge for bonding","LIN","$OUT[6]=TRUE, WAIT SEC 3, $OUT[6]=FALSE","DEF Apply_Adhesive()
   LIN EDGE_START
   LIN EDGE_END
   $OUT[6] = TRUE
   WAIT SEC 3
   $OUT[6] = FALSE
END"
"Place circuit board into testing bay and hold","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 4","DEF Hold_Board_For_Test()
   PTP BOARD_PICK
   LIN TEST_BAY
   $OUT[4] = TRUE
   WAIT SEC 4
END"
"Unload sterilized tool from chamber and place in tray","PTP + LIN","$OUT[7]=TRUE, WAIT SEC 1","DEF Unload_Tool()
   PTP CHAMBER_EXIT
   LIN CLEAN_TRAY
   $OUT[7] = TRUE
   WAIT SEC 1
END"
"Pick up tire and align to axle hub","PTP + LIN","$OUT[9]=TRUE","DEF Align_Tire()
   PTP TIRE_RACK
   LIN AXLE_HUB
   $OUT[9] = TRUE
END"
"Clean nozzle before printing with air burst","PTP","$OUT[5]=TRUE, WAIT SEC 2, $OUT[5]=FALSE","DEF Clean_Print_Nozzle()
   PTP NOZZLE_CLEAN_POS
   $OUT[5] = TRUE
   WAIT SEC 2
   $OUT[5] = FALSE
END"
"Align lens in optical frame with precision","PTP + LIN","$OUT[2]=TRUE","DEF Align_Lens()
   PTP LENS_PICK
   LIN FRAME_SLOT
   $OUT[2] = TRUE
END"
"Press valve button to start chemical flow","PTP","$OUT[8]=TRUE, WAIT SEC 3, $OUT[8]=FALSE","DEF Start_Chemical_Flow()
   PTP VALVE_BUTTON
   $OUT[8] = TRUE
   WAIT SEC 3
   $OUT[8] = FALSE
END"
"Move robotic arm to standby position after task","PTP","$OUT[10]=FALSE","DEF Move_To_Standby()
   PTP STANDBY_POS
   $OUT[10] = FALSE
END"
"Pick up packaging tray and place on conveyor belt","PTP + LIN","$OUT[2]=TRUE","DEF Load_Packaging_Tray()
   PTP TRAY_PICK
   LIN CONVEYOR_POS
   $OUT[2] = TRUE
END"
"Insert sample into centrifuge and close lid","PTP + LIN + PTP","$OUT[4]=TRUE, WAIT SEC 2, $OUT[4]=FALSE","DEF Load_Centrifuge()
   PTP SAMPLE_PICK
   LIN CENTRIFUGE_SLOT
   PTP LID_HANDLE
   $OUT[4] = TRUE
   WAIT SEC 2
   $OUT[4] = FALSE
END"
"Apply barcode sticker on medicine vial","PTP + LIN","$OUT[1]=TRUE, WAIT SEC 1, $OUT[1]=FALSE","DEF Barcode_Vial()
   PTP STICKER_PICK
   LIN VIAL_POS
   $OUT[1] = TRUE
   WAIT SEC 1
   $OUT[1] = FALSE
END"
"Lift object with suction and place in container","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 2, $OUT[5]=FALSE","DEF Suction_Pick_And_Place()
   PTP OBJECT_POS
   LIN CONTAINER_SLOT
   $OUT[5] = TRUE
   WAIT SEC 2
   $OUT[5] = FALSE
END"
"Turn knob to activate cooling system","PTP","$OUT[6]=TRUE","DEF Activate_Cooling()
   PTP KNOB_POS
   $OUT[6] = TRUE
END"
"Lower fixture plate into welding position","PTP + LIN","$OUT[3]=TRUE","DEF Lower_Fixture()
   PTP PLATE_PICK
   LIN WELD_SLOT
   $OUT[3] = TRUE
END"
"Spray paint evenly across panel surface","LIN","$OUT[8]=TRUE, WAIT SEC 4, $OUT[8]=FALSE","DEF Spray_Paint_Panel()
   LIN PANEL_TOP
   LIN PANEL_BOTTOM
   $OUT[8] = TRUE
   WAIT SEC 4
   $OUT[8] = FALSE
END"
"Place empty bottles on filling line","PTP + LIN","$OUT[9]=TRUE","DEF Load_Bottles()
   PTP BOTTLE_PICK
   LIN FILL_LINE
   $OUT[9] = TRUE
END"
"Scan RFID badge before opening secure gate","PTP","$OUT[7]=TRUE, WAIT FOR $IN[4]","DEF Scan_And_Open_Gate()
   PTP SCAN_POINT
   $OUT[7] = TRUE
   WAIT FOR $IN[4]
END"
"Pick and rotate camera lens for calibration","PTP + LIN","$OUT[10]=TRUE, WAIT SEC 3, $OUT[10]=FALSE","DEF Calibrate_Lens()
   PTP LENS_RACK
   LIN CALIBRATION_POS
   $OUT[10] = TRUE
   WAIT SEC 3
   $OUT[10] = FALSE
END"
"Lift metal plate and insert into bending machine","PTP + LIN","$OUT[3]=TRUE","DEF Load_Bending_Machine()
   PTP PLATE_PICK
   LIN MACHINE_SLOT
   $OUT[3] = TRUE
END"
"Pick and dip component into chemical solution","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 5, $OUT[6]=FALSE","DEF Dip_In_Solution()
   PTP COMPONENT_PICK
   LIN CHEM_BATH
   $OUT[6] = TRUE
   WAIT SEC 5
   $OUT[6] = FALSE
END"
"Insert connector into port and check light","PTP + LIN","$OUT[7]=TRUE, WAIT FOR $IN[2]","DEF Insert_Connector_Check()
   PTP CONNECTOR_PICK
   LIN PORT_POS
   $OUT[7] = TRUE
   WAIT FOR $IN[2]
END"
"Open container lid before placing sample","PTP + LIN + PTP","$OUT[2]=FALSE","DEF Open_Lid_And_Place_Sample()
   PTP LID_POS
   LIN SAMPLE_POS
   PTP TRAY_POS
   $OUT[2] = FALSE
END"
"Secure sensor module with mounting screws","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 2","DEF Mount_Sensor_Module()
   PTP MODULE_PICK
   LIN MOUNT_POS
   $OUT[5] = TRUE
   WAIT SEC 2
END"
"Transfer hot part to cooling rack","PTP + LIN","$OUT[8]=TRUE","DEF Cool_Hot_Part()
   PTP HOT_PICK
   LIN COOLING_RACK
   $OUT[8] = TRUE
END"
"Engage clamp to lock object for machining","PTP","$OUT[1]=TRUE","DEF Lock_For_Machining()
   PTP CLAMP_POS
   $OUT[1] = TRUE
END"
"Push start button to begin automated sequence","PTP","$OUT[9]=TRUE, WAIT SEC 1, $OUT[9]=FALSE","DEF Start_Auto_Sequence()
   PTP BUTTON_POS
   $OUT[9] = TRUE
   WAIT SEC 1
   $OUT[9] = FALSE
END"
"Place assembled unit into inspection tray","PTP + LIN","$OUT[10]=TRUE","DEF Place_Inspection_Tray()
   PTP UNIT_PICK
   LIN TRAY_SLOT
   $OUT[10] = TRUE
END"
"Adjust robotic tool head to calibration position","PTP","$OUT[4]=TRUE","DEF Calibrate_Tool_Head()
   PTP TOOL_HEAD_POS
   $OUT[4] = TRUE
END"
"Scan barcode on product and move to dispatch bin","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 2","DEF Scan_And_Dispatch()
   PTP PRODUCT_POS
   LIN BARCODE_SCANNER
   $OUT[2] = TRUE
   WAIT SEC 2
   LIN DISPATCH_BIN
END"
"Pick up fragile glassware and place into washer rack","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 2, $OUT[2]=FALSE","DEF Load_Glassware()
   PTP GLASS_PICK
   LIN WASHER_RACK
   $OUT[2] = TRUE
   WAIT SEC 2
   $OUT[2] = FALSE
END"
"Insert metallic rod into forging press chamber","PTP + LIN","$OUT[4]=TRUE","DEF Load_Forging_Press()
   PTP ROD_PICK
   LIN PRESS_CHAMBER
   $OUT[4] = TRUE
END"
"Align surgical instrument for sterilization","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 3, $OUT[6]=FALSE","DEF Align_Surgical_Tool()
   PTP TOOL_PICK
   LIN STERILIZE_SLOT
   $OUT[6] = TRUE
   WAIT SEC 3
   $OUT[6] = FALSE
END"
"Unload painted car door and place on drying rack","PTP + LIN","$OUT[8]=TRUE","DEF Unload_Car_Door()
   PTP DOOR_PICK
   LIN DRYING_RACK
   $OUT[8] = TRUE
END"
"Insert lithium battery cell into drone frame","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 1, $OUT[5]=FALSE","DEF Insert_Drone_Battery()
   PTP BATTERY_PICK
   LIN DRONE_SLOT
   $OUT[5] = TRUE
   WAIT SEC 1
   $OUT[5] = FALSE
END"
"Attach label to pharmaceutical bottle during packaging","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 1, $OUT[3]=FALSE","DEF Label_Pharmacy_Bottle()
   PTP LABEL_PICK
   LIN BOTTLE_POS
   $OUT[3] = TRUE
   WAIT SEC 1
   $OUT[3] = FALSE
END"
"Place charging plug into electric vehicle port","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 2","DEF Plug_EV_Charging()
   PTP PLUG_PICK
   LIN EV_PORT
   $OUT[6] = TRUE
   WAIT SEC 2
END"
"Insert biopsy needle into alignment guide","PTP + LIN","$OUT[5]=TRUE","DEF Insert_Biopsy_Needle()
   PTP NEEDLE_PICK
   LIN GUIDE_SLOT
   $OUT[5] = TRUE
END"
"Load meat tray onto conveyor for vacuum sealing","PTP + LIN","$OUT[1]=TRUE","DEF Load_Meat_Tray()
   PTP TRAY_PICK
   LIN CONVEYOR_IN
   $OUT[1] = TRUE
END"
"Mount solar panel on frame using suction tool","PTP + LIN","$OUT[7]=TRUE, WAIT SEC 3, $OUT[7]=FALSE","DEF Mount_Solar_Panel()
   PTP PANEL_PICK
   LIN FRAME_POS
   $OUT[7] = TRUE
   WAIT SEC 3
   $OUT[7] = FALSE
END"
"Place bread loaves into oven conveyor for baking","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 2, $OUT[2]=FALSE","DEF Load_Oven_Bread()
   PTP BREAD_PICK
   LIN OVEN_CONVEYOR
   $OUT[2] = TRUE
   WAIT SEC 2
   $OUT[2] = FALSE
END"
"Insert fuse module into electrical cabinet safely","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 1","DEF Insert_Fuse_Module()
   PTP MODULE_PICK
   LIN CABINET_SLOT
   $OUT[4] = TRUE
   WAIT SEC 1
END"
"Align camera sensor into drone mount base","PTP + LIN","$OUT[7]=TRUE","DEF Mount_Camera_Sensor()
   PTP SENSOR_PICK
   LIN MOUNT_BASE
   $OUT[7] = TRUE
END"
"Place medical syringe into sterilizer tray","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 2, $OUT[3]=FALSE","DEF Load_Syringe_Tray()
   PTP SYRINGE_PICK
   LIN STERILIZER_TRAY
   $OUT[3] = TRUE
   WAIT SEC 2
   $OUT[3] = FALSE
END"
"Pick fresh fruit and load onto sorting belt","PTP + LIN","$OUT[1]=TRUE, WAIT SEC 1, $OUT[1]=FALSE","DEF Pick_And_Sort_Fruit()
   PTP FRUIT_PICK
   LIN SORTING_BELT
   $OUT[1] = TRUE
   WAIT SEC 1
   $OUT[1] = FALSE
END"
"Load ceramic tile into cutting machine for precision slicing","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 2, $OUT[4]=FALSE","DEF Load_Tile_For_Cutting()
   PTP TILE_PICK
   LIN CUTTER_POS
   $OUT[4] = TRUE
   WAIT SEC 2
   $OUT[4] = FALSE
END"
"Pick up package and scan barcode before shipping","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 1, $OUT[5]=FALSE","DEF Scan_Package_Barcode()
   PTP PACKAGE_PICK
   LIN SCAN_POS
   $OUT[5] = TRUE
   WAIT SEC 1
   $OUT[5] = FALSE
END"
"Place laboratory sample into refrigerated chamber","PTP + LIN","$OUT[6]=TRUE","DEF Store_Lab_Sample()
   PTP SAMPLE_PICK
   LIN FRIDGE_SLOT
   $OUT[6] = TRUE
END"
"Feed metal sheet into laser cutting machine","PTP + LIN","$OUT[8]=TRUE, WAIT SEC 3, $OUT[8]=FALSE","DEF Feed_Laser_Cutter()
   PTP SHEET_PICK
   LIN LASER_ENTRY
   $OUT[8] = TRUE
   WAIT SEC 3
   $OUT[8] = FALSE
END"
"Move plastic bottle to capper station and hold in place","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 2, $OUT[2]=FALSE","DEF Cap_Bottle()
   PTP BOTTLE_PICK
   LIN CAPPER_POS
   $OUT[2] = TRUE
   WAIT SEC 2
   $OUT[2] = FALSE
END"
"Place circuit board into testing chamber for diagnostics","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 2, $OUT[6]=FALSE","DEF Insert_Circuit_For_Test()
   PTP BOARD_PICK
   LIN TEST_CHAMBER
   $OUT[6] = TRUE
   WAIT SEC 2
   $OUT[6] = FALSE
END"
"Transfer raw dough into oven tray for baking","PTP + LIN","$OUT[3]=TRUE","DEF Load_Dough_Into_Tray()
   PTP DOUGH_PICK
   LIN OVEN_TRAY
   $OUT[3] = TRUE
END"
"Pick welding torch and position it near joint A","PTP + LIN","$OUT[10]=TRUE","DEF Position_Weld_Torch()
   PTP TORCH_PICK
   LIN JOINT_A
   $OUT[10] = TRUE
END"
"Align turbine blade into assembly fixture","PTP + LIN","$OUT[7]=TRUE, WAIT SEC 4, $OUT[7]=FALSE","DEF Align_Turbine_Blade()
   PTP BLADE_PICK
   LIN FIXTURE_SLOT
   $OUT[7] = TRUE
   WAIT SEC 4
   $OUT[7] = FALSE
END"
"Drop used cartridge into recycling bin","PTP + LIN","$OUT[1]=TRUE, WAIT SEC 1, $OUT[1]=FALSE","DEF Dispose_Cartridge()
   PTP CARTRIDGE_PICK
   LIN RECYCLE_BIN
   $OUT[1] = TRUE
   WAIT SEC 1
   $OUT[1] = FALSE
END"
"Pick vial from holder and insert into centrifuge slot","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 2, $OUT[2]=FALSE","DEF Load_Vial_Centrifuge()
   PTP VIAL_HOLDER
   LIN CENTRIFUGE_SLOT
   $OUT[2] = TRUE
   WAIT SEC 2
   $OUT[2] = FALSE
END"
"Unload forged part from hydraulic press to tray","PTP + LIN","$OUT[4]=TRUE","DEF Unload_Forged_Part()
   PTP PRESS_POS
   LIN TRAY_POS
   $OUT[4] = TRUE
END"
"Position mirror into telescope alignment mount","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1, $OUT[6]=FALSE","DEF Align_Telescope_Mirror()
   PTP MIRROR_PICK
   LIN ALIGNMENT_SLOT
   $OUT[6] = TRUE
   WAIT SEC 1
   $OUT[6] = FALSE
END"
"Insert wire harness into automotive dashboard socket","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 2","DEF Insert_Wire_Harness()
   PTP HARNESS_PICK
   LIN SOCKET_POS
   $OUT[5] = TRUE
   WAIT SEC 2
END"
"Insert metal pin into hinge slot during door assembly","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 2, $OUT[4]=FALSE","DEF Insert_Hinge_Pin()
   PTP PIN_PICK
   LIN HINGE_SLOT
   $OUT[4] = TRUE
   WAIT SEC 2
   $OUT[4] = FALSE
END"
"Pick blood test tube and place into analyzer rack","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1, $OUT[6]=FALSE","DEF Load_Blood_Tube()
   PTP TUBE_PICK
   LIN ANALYZER_RACK
   $OUT[6] = TRUE
   WAIT SEC 1
   $OUT[6] = FALSE
END"
"Move camera lens into calibration stand and hold","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 3","DEF Calibrate_Lens()
   PTP LENS_PICK
   LIN CALIBRATION_STAND
   $OUT[3] = TRUE
   WAIT SEC 3
END"
"Install propeller onto drone motor shaft","PTP + LIN","$OUT[5]=TRUE","DEF Install_Drone_Propeller()
   PTP PROPELLER_PICK
   LIN MOTOR_SHAFT
   $OUT[5] = TRUE
END"
"Pick test weight and place on industrial scale","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 1, $OUT[2]=FALSE","DEF Load_Test_Weight()
   PTP WEIGHT_PICK
   LIN SCALE_POS
   $OUT[2] = TRUE
   WAIT SEC 1
   $OUT[2] = FALSE
END"
"Mount lens cover onto surveillance camera module","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 2, $OUT[5]=FALSE","DEF Mount_Lens_Cover()
   PTP COVER_PICK
   LIN CAMERA_MODULE
   $OUT[5] = TRUE
   WAIT SEC 2
   $OUT[5] = FALSE
END"
"Load fabric roll into textile cutter machine","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 3","DEF Load_Textile_Cutter()
   PTP FABRIC_PICK
   LIN CUTTER_SLOT
   $OUT[3] = TRUE
   WAIT SEC 3
END"
"Insert reagent cartridge into diagnostic machine","PTP + LIN","$OUT[6]=TRUE","DEF Insert_Reagent()
   PTP REAGENT_PICK
   LIN MACHINE_SLOT
   $OUT[6] = TRUE
END"
"Pick plastic mold and stack on output tray","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 1, $OUT[2]=FALSE","DEF Stack_Plastic_Mold()
   PTP MOLD_PICK
   LIN TRAY_POS
   $OUT[2] = TRUE
   WAIT SEC 1
   $OUT[2] = FALSE
END"
"Transfer ice pack into cold storage chamber","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 2","DEF Store_Ice_Pack()
   PTP PACK_PICK
   LIN COLD_STORAGE
   $OUT[4] = TRUE
   WAIT SEC 2
END"
"Place ink cartridge into industrial printer slot","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 2, $OUT[2]=FALSE","DEF Insert_Ink_Cartridge()
   PTP CARTRIDGE_PICK
   LIN PRINTER_SLOT
   $OUT[2] = TRUE
   WAIT SEC 2
   $OUT[2] = FALSE
END"
"Align and press-fit bearing into motor casing","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 1","DEF Fit_Motor_Bearing()
   PTP BEARING_PICK
   LIN CASING_POS
   $OUT[4] = TRUE
   WAIT SEC 1
END"
"Pick thermal sensor and place on circuit board","PTP + LIN","$OUT[6]=TRUE","DEF Mount_Thermal_Sensor()
   PTP SENSOR_PICK
   LIN BOARD_POS
   $OUT[6] = TRUE
END"
"Transfer sterilized syringe into sealed package","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 2, $OUT[5]=FALSE","DEF Package_Syringe()
   PTP SYRINGE_PICK
   LIN PACKAGE_SLOT
   $OUT[5] = TRUE
   WAIT SEC 2
   $OUT[5] = FALSE
END"
"Place frozen vaccine vial into shipping crate","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 1, $OUT[3]=FALSE","DEF Load_Vaccine_Vial()
   PTP VIAL_PICK
   LIN CRATE_POS
   $OUT[3] = TRUE
   WAIT SEC 1
   $OUT[3] = FALSE
END"
"Install CPU onto motherboard socket in assembly line","PTP + LIN","$OUT[7]=TRUE, WAIT SEC 1, $OUT[7]=FALSE","DEF Install_CPU()
   PTP CPU_PICK
   LIN MOTHERBOARD_SOCKET
   $OUT[7] = TRUE
   WAIT SEC 1
   $OUT[7] = FALSE
END"
"Place canned food onto conveyor belt for labeling","PTP + LIN","$OUT[2]=TRUE","DEF Load_Canned_Food()
   PTP CAN_PICK
   LIN LABEL_CONVEYOR
   $OUT[2] = TRUE
END"
"Mount wind turbine blade onto central hub","PTP + LIN","$OUT[9]=TRUE, WAIT SEC 3, $OUT[9]=FALSE","DEF Mount_Turbine_Blade()
   PTP BLADE_PICK
   LIN HUB_POS
   $OUT[9] = TRUE
   WAIT SEC 3
   $OUT[9] = FALSE
END"
"Align X-ray plate into imaging machine slot","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 2, $OUT[6]=FALSE","DEF Align_XRay_Plate()
   PTP PLATE_PICK
   LIN MACHINE_SLOT
   $OUT[6] = TRUE
   WAIT SEC 2
   $OUT[6] = FALSE
END"
"Pick reagent bottle and place on mixing station","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 1","DEF Load_Reagent_Mixer()
   PTP REAGENT_PICK
   LIN MIXER_SLOT
   $OUT[4] = TRUE
   WAIT SEC 1
END"
"Pick brake disc and load into inspection station","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 2, $OUT[3]=FALSE","DEF Inspect_Brake_Disc()
   PTP DISC_PICK
   LIN INSPECTION_POS
   $OUT[3] = TRUE
   WAIT SEC 2
   $OUT[3] = FALSE
END"
"Insert lens into microscope adjustment holder","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 1","DEF Insert_Microscope_Lens()
   PTP LENS_PICK
   LIN HOLDER_SLOT
   $OUT[5] = TRUE
   WAIT SEC 1
END"
"Place empty tray onto bakery conveyor line","PTP + LIN","$OUT[2]=TRUE","DEF Load_Bakery_Tray()
   PTP TRAY_PICK
   LIN CONVEYOR_ENTRY
   $OUT[2] = TRUE
END"
"Position fuel cell module into power unit frame","PTP + LIN","$OUT[8]=TRUE, WAIT SEC 2","DEF Place_Fuel_Cell()
   PTP CELL_PICK
   LIN POWER_UNIT
   $OUT[8] = TRUE
   WAIT SEC 2
END"
"Mount antenna onto satellite testing platform","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 3, $OUT[6]=FALSE","DEF Mount_Satellite_Antenna()
   PTP ANTENNA_PICK
   LIN TEST_PLATFORM
   $OUT[6] = TRUE
   WAIT SEC 3
   $OUT[6] = FALSE
END"
"Transfer vaccine tray to cold storage rack","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 2, $OUT[4]=FALSE","DEF Store_Vaccine_Tray()
   PTP TRAY_PICK
   LIN COLD_RACK
   $OUT[4] = TRUE
   WAIT SEC 2
   $OUT[4] = FALSE
END"
"Install touchscreen panel onto control kiosk","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1, $OUT[6]=FALSE","DEF Mount_Touch_Panel()
   PTP PANEL_PICK
   LIN KIOSK_FRAME
   $OUT[6] = TRUE
   WAIT SEC 1
   $OUT[6] = FALSE
END"
"Insert medication blister pack into boxing tray","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 1, $OUT[2]=FALSE","DEF Insert_Blister_Pack()
   PTP BLISTER_PICK
   LIN BOXING_TRAY
   $OUT[2] = TRUE
   WAIT SEC 1
   $OUT[2] = FALSE
END"
"Load fabric sample into robotic color scanner","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 2","DEF Scan_Fabric_Color()
   PTP SAMPLE_PICK
   LIN SCANNER_SLOT
   $OUT[5] = TRUE
   WAIT SEC 2
END"
"Place sealed test tube into thermal cycler slot","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 2, $OUT[2]=FALSE","DEF Load_Thermal_Cycler()
   PTP TUBE_PICK
   LIN CYCLER_SLOT
   $OUT[2] = TRUE
   WAIT SEC 2
   $OUT[2] = FALSE
END"
"Mount speaker onto device casing in electronics line","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 1, $OUT[4]=FALSE","DEF Mount_Speaker()
   PTP SPEAKER_PICK
   LIN CASING_POS
   $OUT[4] = TRUE
   WAIT SEC 1
   $OUT[4] = FALSE
END"
"Transfer bakery dough tray into oven input rack","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 2","DEF Load_Oven_Tray()
   PTP TRAY_PICK
   LIN OVEN_INPUT
   $OUT[6] = TRUE
   WAIT SEC 2
END"
"Insert water filter cartridge into purifier chamber","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 1","DEF Insert_Water_Filter()
   PTP FILTER_PICK
   LIN CHAMBER_SLOT
   $OUT[3] = TRUE
   WAIT SEC 1
END"
"Align optical sensor onto drone navigation mount","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 2, $OUT[5]=FALSE","DEF Align_Optical_Sensor()
   PTP SENSOR_PICK
   LIN NAV_MOUNT
   $OUT[5] = TRUE
   WAIT SEC 2
   $OUT[5] = FALSE
END"
"Install air filter into HVAC unit during assembly","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 2, $OUT[3]=FALSE","DEF Install_Air_Filter()
   PTP FILTER_PICK
   LIN HVAC_SLOT
   $OUT[3] = TRUE
   WAIT SEC 2
   $OUT[3] = FALSE
END"
"Place frozen meat pack into blast freezer compartment","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 1, $OUT[5]=FALSE","DEF Load_Frozen_Meat()
   PTP MEAT_PICK
   LIN FREEZER_SLOT
   $OUT[5] = TRUE
   WAIT SEC 1
   $OUT[5] = FALSE
END"
"Mount RFID tag onto logistics container panel","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 2","DEF Attach_RFID_Tag()
   PTP TAG_PICK
   LIN CONTAINER_PANEL
   $OUT[6] = TRUE
   WAIT SEC 2
END"
"Load syringe into automated injection device","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 1","DEF Load_Syringe_Device()
   PTP SYRINGE_PICK
   LIN DEVICE_SLOT
   $OUT[4] = TRUE
   WAIT SEC 1
END"
"Insert hard disk into server bay in data center","PTP + LIN","$OUT[7]=TRUE, WAIT SEC 2, $OUT[7]=FALSE","DEF Insert_Hard_Disk()
   PTP DISK_PICK
   LIN SERVER_BAY
   $OUT[7] = TRUE
   WAIT SEC 2
   $OUT[7] = FALSE
END"
"Place electronic fuse into circuit protection slot","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 1, $OUT[2]=FALSE","DEF Insert_Electronic_Fuse()
   PTP FUSE_PICK
   LIN CIRCUIT_SLOT
   $OUT[2] = TRUE
   WAIT SEC 1
   $OUT[2] = FALSE
END"
"Mount inspection mirror onto robotic probe arm","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 2","DEF Mount_Inspection_Mirror()
   PTP MIRROR_PICK
   LIN PROBE_ARM
   $OUT[4] = TRUE
   WAIT SEC 2
END"
"Insert SIM card into mobile testing tray","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 1","DEF Insert_SIM_Card()
   PTP SIM_PICK
   LIN TEST_TRAY
   $OUT[5] = TRUE
   WAIT SEC 1
END"
"Transfer blood sample vial into centrifuge holder","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1, $OUT[6]=FALSE","DEF Load_Centrifuge()
   PTP VIAL_PICK
   LIN CENTRIFUGE_SLOT
   $OUT[6] = TRUE
   WAIT SEC 1
   $OUT[6] = FALSE
END"
"Install memory chip onto motherboard socket","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 2, $OUT[3]=FALSE","DEF Install_Memory_Chip()
   PTP CHIP_PICK
   LIN SOCKET_POS
   $OUT[3] = TRUE
   WAIT SEC 2
   $OUT[3] = FALSE
END"
"Attach handle to kitchen appliance casing","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 1, $OUT[3]=FALSE","DEF Attach_Handle()
   PTP HANDLE_PICK
   LIN CASING_POS
   $OUT[3] = TRUE
   WAIT SEC 1
   $OUT[3] = FALSE
END"
"Load chemical beaker onto mixing platform","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 2","DEF Load_Chemical_Beaker()
   PTP BEAKER_PICK
   LIN MIXER_PLATFORM
   $OUT[6] = TRUE
   WAIT SEC 2
END"
"Insert LED panel into display frame","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 1, $OUT[4]=FALSE","DEF Insert_LED_Panel()
   PTP LED_PICK
   LIN DISPLAY_FRAME
   $OUT[4] = TRUE
   WAIT SEC 1
   $OUT[4] = FALSE
END"
"Place oxygen cylinder into ambulance mount slot","PTP + LIN","$OUT[7]=TRUE","DEF Load_Oxygen_Cylinder()
   PTP CYLINDER_PICK
   LIN MOUNT_SLOT
   $OUT[7] = TRUE
END"
