prompt,code
LED Toggle with IR Remote (TSOP1738),"#include <IRremote.h>

const int RECV_PIN = 11;
IRrecv irrecv(RECV_PIN);
decode_results results;

const int ledPin = 13;
bool ledState = false;

void setup() {
  irrecv.enableIRIn();
  pinMode(ledPin, OUTPUT);
}

void loop() {
  if (irrecv.decode(&results)) {
    if (results.value == 0xFFA25D) { // Replace with your remote's key code
      ledState = !ledState;
      digitalWrite(ledPin, ledState);
    }
    irrecv.resume();
  }
}"
Pulse Sensor Heartbeat Monitor,"const int pulsePin = A0;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int pulseValue = analogRead(pulsePin);
  Serial.println(pulseValue);
  delay(100);
}"
GY-521 MPU6050 Accelerometer,"#include <Wire.h>
const int MPU = 0x68;

void setup() {
  Wire.begin();
  Wire.beginTransmission(MPU);
  Wire.write(0x6B);
  Wire.write(0);
  Wire.endTransmission(true);
  Serial.begin(9600);
}

void loop() {
  Wire.beginTransmission(MPU);
  Wire.write(0x3B);
  Wire.endTransmission(false);
  Wire.requestFrom(MPU, 6, true);

  int16_t ax = Wire.read() << 8 | Wire.read();
  int16_t ay = Wire.read() << 8 | Wire.read();
  int16_t az = Wire.read() << 8 | Wire.read();

  Serial.print(""X = ""); Serial.print(ax);
  Serial.print("" | Y = ""); Serial.print(ay);
  Serial.print("" | Z = ""); Serial.println(az);
  delay(500);
}"
Gas Leakage Auto Fan Control (MQ-2 + Relay),"const int gasPin = A0;
const int fanRelay = 7;

void setup() {
  pinMode(fanRelay, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int gasLevel = analogRead(gasPin);
  Serial.println(gasLevel);
  if (gasLevel > 350) {
    digitalWrite(fanRelay, HIGH);
  } else {
    digitalWrite(fanRelay, LOW);
  }
  delay(1000);
}"
Clap Switch using Sound Sensor,"const int soundPin = A0;
const int ledPin = 13;

void setup() {
  pinMode(ledPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int soundValue = analogRead(soundPin);
  Serial.println(soundValue);
  if (soundValue > 600) {
    digitalWrite(ledPin, !digitalRead(ledPin));
    delay(500);
  }
}"
LED Blinking Morse Code Translator,"const int ledPin = 13;
String message = ""HELLO"";

void setup() {
  pinMode(ledPin, OUTPUT);
}

void dot() {
  digitalWrite(ledPin, HIGH);
  delay(200);
  digitalWrite(ledPin, LOW);
  delay(200);
}

void dash() {
  digitalWrite(ledPin, HIGH);
  delay(600);
  digitalWrite(ledPin, LOW);
  delay(200);
}

void morse(char c) {
  switch (c) {
    case 'H': dot(); dot(); dot(); dot(); break;
    case 'E': dot(); break;
    case 'L': dot(); dash(); dot(); dot(); break;
    case 'O': dash(); dash(); dash(); break;
  }
  delay(600); // pause between letters
}

void loop() {
  for (int i = 0; i < message.length(); i++) {
    morse(message[i]);
  }
  delay(3000);
}"
Voice Controlled Home Automation (via Bluetooth Voice App),"#include <SoftwareSerial.h>
SoftwareSerial bt(2, 3);
const int fan = 6;
const int light = 7;

void setup() {
  bt.begin(9600);
  pinMode(fan, OUTPUT);
  pinMode(light, OUTPUT);
}

void loop() {
  if (bt.available()) {
    String cmd = bt.readStringUntil('\n');
    cmd.trim();
    if (cmd == ""fan on"") digitalWrite(fan, HIGH);
    else if (cmd == ""fan off"") digitalWrite(fan, LOW);
    else if (cmd == ""light on"") digitalWrite(light, HIGH);
    else if (cmd == ""light off"") digitalWrite(light, LOW);
  }
}"
Soil Temperature Sensor (DS18B20),"#include <OneWire.h>
#include <DallasTemperature.h>

#define ONE_WIRE_BUS 2
OneWire oneWire(ONE_WIRE_BUS);
DallasTemperature sensors(&oneWire);

void setup() {
  Serial.begin(9600);
  sensors.begin();
}

void loop() {
  sensors.requestTemperatures();
  float temp = sensors.getTempCByIndex(0);
  Serial.print(""Soil Temp: "");
  Serial.println(temp);
  delay(2000);
}"
GSM Module SMS Alert (SIM800L),"#include <SoftwareSerial.h>
SoftwareSerial gsm(7, 8);

void setup() {
  gsm.begin(9600);
  delay(1000);
  gsm.println(""AT+CMGF=1"");
  delay(1000);
  gsm.println(""AT+CMGS=\""+1234567890\"""");
  delay(1000);
  gsm.print(""Intruder Alert!"");
  gsm.write(26);
}

void loop() {
}"
Servo Controlled Solar Tracker,"#include <Servo.h>

Servo servo;
const int ldrLeft = A0;
const int ldrRight = A1;

void setup() {
  servo.attach(9);
}

void loop() {
  int leftVal = analogRead(ldrLeft);
  int rightVal = analogRead(ldrRight);
  int diff = leftVal - rightVal;

  int pos = servo.read();
  if (diff > 50 && pos < 180) pos++;
  else if (diff < -50 && pos > 0) pos--;

  servo.write(pos);
  delay(100);
}"
WiFi-Controlled LED (ESP8266 AT Commands),"#include <SoftwareSerial.h>
SoftwareSerial esp(2, 3);

void setup() {
  esp.begin(9600);
  Serial.begin(9600);
  pinMode(13, OUTPUT);

  esp.println(""AT+CWMODE=1"");
  delay(2000);
  esp.println(""AT+CWJAP=\""SSID\"",\""PASSWORD\"""");
  delay(5000);
  esp.println(""AT+CIPMUX=1"");
  delay(2000);
  esp.println(""AT+CIPSERVER=1,80"");
}

void loop() {
  if (esp.available()) {
    String req = esp.readString();
    if (req.indexOf(""LED=ON"") != -1) digitalWrite(13, HIGH);
    if (req.indexOf(""LED=OFF"") != -1) digitalWrite(13, LOW);
  }
}"
Traffic Light System,"const int red = 2;
const int yellow = 3;
const int green = 4;

void setup() {
  pinMode(red, OUTPUT);
  pinMode(yellow, OUTPUT);
  pinMode(green, OUTPUT);
}

void loop() {
  digitalWrite(green, HIGH);
  delay(5000);
  digitalWrite(green, LOW);

  digitalWrite(yellow, HIGH);
  delay(2000);
  digitalWrite(yellow, LOW);

  digitalWrite(red, HIGH);
  delay(5000);
  digitalWrite(red, LOW);
}"
Buzzer Alert with Delay Using Timer,"const int buzzer = 8;

void setup() {
  pinMode(buzzer, OUTPUT);
}

void loop() {
  tone(buzzer, 1000);
  delay(1000);
  noTone(buzzer);
  delay(1000);
}"
Capacitive Touch Lamp Control (TTP229),"const int touchPin = 2;
const int ledPin = 13;

void setup() {
  pinMode(touchPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  if (digitalRead(touchPin) == HIGH) {
    digitalWrite(ledPin, !digitalRead(ledPin));
    delay(300);
  }
}"
Ultrasonic Sensor Parking Assistant with LED,"const int trigPin = 9;
const int echoPin = 10;
const int ledPin = 13;

void setup() {
  pinMode(trigPin, OUTPUT);
  pinMode(echoPin, INPUT);
  pinMode(ledPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  digitalWrite(trigPin, LOW); delayMicroseconds(2);
  digitalWrite(trigPin, HIGH); delayMicroseconds(10);
  digitalWrite(trigPin, LOW);

  long duration = pulseIn(echoPin, HIGH);
  float distance = duration * 0.034 / 2;
  Serial.print(""Distance: "");
  Serial.println(distance);

  if (distance < 20) {
    digitalWrite(ledPin, HIGH);
  } else {
    digitalWrite(ledPin, LOW);
  }
  delay(500);
}"
Blink the built-in LED every second.,"void setup() {
  pinMode(LED_BUILTIN, OUTPUT);
}

void loop() {
  digitalWrite(LED_BUILTIN, HIGH);
  delay(1000);
  digitalWrite(LED_BUILTIN, LOW);
  delay(1000);
}"
Gradually fade an LED in and out using PWM.,"int ledPin = 9;

void setup() {
  pinMode(ledPin, OUTPUT);
}

void loop() {
  for (int brightness = 0; brightness <= 255; brightness++) {
    analogWrite(ledPin, brightness);
    delay(10);
  }
  for (int brightness = 255; brightness >= 0; brightness--) {
    analogWrite(ledPin, brightness);
    delay(10);
  }
}"
Read an analog sensor value from pin A0 and print it to the Serial Monitor.,"void setup() {
  Serial.begin(9600);
}

void loop() {
  int sensorValue = analogRead(A0);
  Serial.println(sensorValue);
  delay(500);
}"
Turn on an LED when a button is pressed.,"int buttonPin = 2;
int ledPin = 13;

void setup() {
  pinMode(buttonPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  int buttonState = digitalRead(buttonPin);
  digitalWrite(ledPin, buttonState);
}"
Read temperature in Celsius from an LM35 sensor.,"void setup() {
  Serial.begin(9600);
}

void loop() {
  int reading = analogRead(A0);
  float voltage = reading * (5.0 / 1023.0);
  float temperatureC = voltage * 100;
  Serial.println(temperatureC);
  delay(1000);
}"
Control a servo motor to sweep between 0 and 180 degrees.,"#include <Servo.h>

Servo myServo;

void setup() {
  myServo.attach(9);
}

void loop() {
  myServo.write(0);
  delay(1000);
  myServo.write(180);
  delay(1000);
}"
Measure distance using an HC-SR04 ultrasonic sensor.,"#define trigPin 9
#define echoPin 10

void setup() {
  Serial.begin(9600);
  pinMode(trigPin, OUTPUT);
  pinMode(echoPin, INPUT);
}

void loop() {
  digitalWrite(trigPin, LOW);
  delayMicroseconds(2);
  digitalWrite(trigPin, HIGH);
  delayMicroseconds(10);
  digitalWrite(trigPin, LOW);

  long duration = pulseIn(echoPin, HIGH);
  float distance = duration * 0.034 / 2;

  Serial.print(""Distance: "");
  Serial.print(distance);
  Serial.println("" cm"");

  delay(1000);
}"
Play a 1kHz tone on a buzzer every half second.,"void setup() {
  pinMode(8, OUTPUT);
}

void loop() {
  tone(8, 1000);
  delay(500);
  noTone(8);
  delay(500);
}"
Toggle an LED on/off each time a button is pressed.,"int buttonPin = 2;
int ledPin = 13;
int ledState = LOW;
int lastButtonState = HIGH;

void setup() {
  pinMode(buttonPin, INPUT_PULLUP);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  int buttonState = digitalRead(buttonPin);
  if (buttonState == LOW && lastButtonState == HIGH) {
    ledState = !ledState;
    digitalWrite(ledPin, ledState);
    delay(200);
  }
  lastButtonState = buttonState;
}"
Echo received serial characters back to the sender.,"void setup() {
  Serial.begin(9600);
}

void loop() {
  if (Serial.available()) {
    char incoming = Serial.read();
    Serial.print(""Received: "");
    Serial.println(incoming);
  }
}"
Blink an external LED connected to pin 7 every half second.,"void setup() {
  pinMode(7, OUTPUT);
}

void loop() {
  digitalWrite(7, HIGH);
  delay(500);
  digitalWrite(7, LOW);
  delay(500);
}"
Turn on a fan connected to pin 6 when the temperature from LM35 exceeds 30°C.,"void setup() {
  pinMode(6, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int value = analogRead(A0);
  float voltage = value * (5.0 / 1023.0);
  float temperature = voltage * 100;
  
  if (temperature > 30) {
    digitalWrite(6, HIGH);
  } else {
    digitalWrite(6, LOW);
  }

  Serial.println(temperature);
  delay(1000);
}"
"Flash an LED 3 times quickly, then pause for 2 seconds.","void setup() {
  pinMode(13, OUTPUT);
}

void loop() {
  for (int i = 0; i < 3; i++) {
    digitalWrite(13, HIGH);
    delay(200);
    digitalWrite(13, LOW);
    delay(200);
  }
  delay(2000);
}"
Use a potentiometer to control the brightness of an LED on pin 9.,"void setup() {
  pinMode(9, OUTPUT);
}

void loop() {
  int potValue = analogRead(A0);
  int brightness = map(potValue, 0, 1023, 0, 255);
  analogWrite(9, brightness);
  delay(50);
}"
Make an LED blink faster as a button is held down.,"int buttonPin = 2;
int ledPin = 13;

void setup() {
  pinMode(buttonPin, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  int buttonState = digitalRead(buttonPin);
  int delayTime = buttonState == HIGH ? 1000 : 200;

  digitalWrite(ledPin, HIGH);
  delay(delayTime);
  digitalWrite(ledPin, LOW);
  delay(delayTime);
}"
Use two buttons to turn an LED on (button A) and off (button B).,"int buttonA = 2;
int buttonB = 3;
int ledPin = 13;

void setup() {
  pinMode(buttonA, INPUT);
  pinMode(buttonB, INPUT);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  if (digitalRead(buttonA) == HIGH) {
    digitalWrite(ledPin, HIGH);
  }
  if (digitalRead(buttonB) == HIGH) {
    digitalWrite(ledPin, LOW);
  }
}"
"Print ""Hello, World!"" to the Serial Monitor every second.","void setup() {
  Serial.begin(9600);
}

void loop() {
  Serial.println(""Hello, World!"");
  delay(1000);
}"
Light up an LED if a light sensor (photoresistor) reads low light levels.,"void setup() {
  pinMode(9, OUTPUT);
}

void loop() {
  int lightLevel = analogRead(A0);
  if (lightLevel < 300) {
    digitalWrite(9, HIGH);
  } else {
    digitalWrite(9, LOW);
  }
  delay(100);
}"
Control the speed of a DC motor using a potentiometer on pin A0 and output on pin 5.,"void setup() {
  pinMode(5, OUTPUT);
}

void loop() {
  int potValue = analogRead(A0);
  int motorSpeed = map(potValue, 0, 1023, 0, 255);
  analogWrite(5, motorSpeed);
}"
Blink two LEDs alternately on pins 8 and 9.,"void setup() {
  pinMode(8, OUTPUT);
  pinMode(9, OUTPUT);
}

void loop() {
  digitalWrite(8, HIGH);
  digitalWrite(9, LOW);
  delay(500);
  digitalWrite(8, LOW);
  digitalWrite(9, HIGH);
  delay(500);
}"
"Cycle through 3 LEDs connected to pins 3, 4, and 5 like a traffic light.","int leds[] = {3, 4, 5};

void setup() {
  for (int i = 0; i < 3; i++) {
    pinMode(leds[i], OUTPUT);
  }
}

void loop() {
  digitalWrite(leds[0], HIGH); // Red
  delay(2000);
  digitalWrite(leds[0], LOW);

  digitalWrite(leds[1], HIGH); // Yellow
  delay(1000);
  digitalWrite(leds[1], LOW);

  digitalWrite(leds[2], HIGH); // Green
  delay(3000);
  digitalWrite(leds[2], LOW);
}"
Count button presses and display the count on the Serial Monitor.,"int buttonPin = 2;
int lastState = LOW;
int count = 0;

void setup() {
  pinMode(buttonPin, INPUT_PULLUP);
  Serial.begin(9600);
}

void loop() {
  int currentState = digitalRead(buttonPin);
  if (lastState == HIGH && currentState == LOW) {
    count++;
    Serial.print(""Button Pressed: "");
    Serial.println(count);
    delay(200);
  }
  lastState = currentState;
}"
"Turn on an LED for 5 seconds when a button is pressed, then ignore further presses until time ends.","int buttonPin = 2;
int ledPin = 13;
bool isOn = false;
unsigned long startTime = 0;

void setup() {
  pinMode(buttonPin, INPUT_PULLUP);
  pinMode(ledPin, OUTPUT);
}

void loop() {
  if (!isOn && digitalRead(buttonPin) == LOW) {
    isOn = true;
    startTime = millis();
    digitalWrite(ledPin, HIGH);
  }

  if (isOn && millis() - startTime >= 5000) {
    digitalWrite(ledPin, LOW);
    isOn = false;
  }
}"
Use a light sensor to gradually fade an LED based on ambient light.,"int ledPin = 9;
int lightSensor = A0;

void setup() {
  pinMode(ledPin, OUTPUT);
}

void loop() {
  int light = analogRead(lightSensor);
  int brightness = map(light, 0, 1023, 255, 0); // Inverted
  analogWrite(ledPin, brightness);
  delay(100);
}"
Simulate a basic security alarm that triggers a buzzer if motion is detected.,"int pirPin = 2;
int buzzer = 8;

void setup() {
  pinMode(pirPin, INPUT);
  pinMode(buzzer, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int motion = digitalRead(pirPin);
  if (motion == HIGH) {
    digitalWrite(buzzer, HIGH);
    Serial.println(""Motion detected!"");
  } else {
    digitalWrite(buzzer, LOW);
  }
  delay(200);
}"
Flash SOS in Morse code using an LED.,"int ledPin = 13;

void setup() {
  pinMode(ledPin, OUTPUT);
}

void dot() {
  digitalWrite(ledPin, HIGH);
  delay(200);
  digitalWrite(ledPin, LOW);
  delay(200);
}

void dash() {
  digitalWrite(ledPin, HIGH);
  delay(600);
  digitalWrite(ledPin, LOW);
  delay(200);
}

void loop() {
  // S
  dot(); dot(); dot();
  delay(600);
  // O
  dash(); dash(); dash();
  delay(600);
  // S
  dot(); dot(); dot();
  delay(2000);
}"
Rotate a servo to match the angle set by a potentiometer.,"#include <Servo.h>

Servo myServo;

void setup() {
  myServo.attach(9);
}

void loop() {
  int potValue = analogRead(A0);
  int angle = map(potValue, 0, 1023, 0, 180);
  myServo.write(angle);
  delay(15);
}"
Log temperature every 5 seconds and show max/min recorded on Serial Monitor.,"float maxTemp = -1000;
float minTemp = 1000;

void setup() {
  Serial.begin(9600);
}

void loop() {
  int val = analogRead(A0);
  float temp = (val * 5.0 / 1023.0) * 100;

  if (temp > maxTemp) maxTemp = temp;
  if (temp < minTemp) minTemp = temp;

  Serial.print(""Current: "");
  Serial.print(temp);
  Serial.print("" °C | Max: "");
  Serial.print(maxTemp);
  Serial.print("" °C | Min: "");
  Serial.print(minTemp);
  Serial.println("" °C"");

  delay(5000);
}"
Make a tone that increases in pitch every half second.,"void setup() {
  pinMode(8, OUTPUT);
}

void loop() {
  for (int freq = 100; freq <= 1000; freq += 100) {
    tone(8, freq);
    delay(500);
  }
  noTone(8);
  delay(1000);
}"
Implement a basic password system using button presses.,"const int buttonPin = 2;
const int ledPin = 13;
const int password[] = {1, 0, 1}; // ON, OFF, ON
int input[3];
int index = 0;
int lastState = HIGH;

void setup() {
  pinMode(buttonPin, INPUT_PULLUP);
  pinMode(ledPin, OUTPUT);
  Serial.begin(9600);
}

void loop() {
  int state = digitalRead(buttonPin);
  if (lastState == HIGH && state == LOW) {
    input[index] = digitalRead(ledPin); // Simulate input (manual toggle logic)
    index++;

    if (index >= 3) {
      bool correct = true;
      for (int i = 0; i < 3; i++) {
        if (input[i] != password[i]) correct = false;
      }

      if (correct) {
        digitalWrite(ledPin, HIGH);
        Serial.println(""Access Granted"");
      } else {
        digitalWrite(ledPin, LOW);
        Serial.println(""Access Denied"");
      }

      index = 0;
    }

    delay(300);
  }
  lastState = state;
}"
Create a Knight Rider / KITT scanner effect with 8 LEDs,"void setup() {
  // Initialize pins 2 through 9 as outputs
  for (int i = 2; i <= 9; i++) {
    pinMode(i, OUTPUT);
  }
}

void loop() {
  // Left to right
  for (int i = 2; i <= 9; i++) {
    digitalWrite(i, HIGH);
    delay(50);
    digitalWrite(i, LOW);
  }
  
  // Right to left
  for (int i = 8; i >= 3; i--) {
    digitalWrite(i, HIGH);
    delay(50);
    digitalWrite(i, LOW);
  }
}"
Read temperature from DHT22 sensor and display on LCD with warning indicator,"#include <DHT.h>
#include <LiquidCrystal_I2C.h>

#define DHTPIN 2
#define DHTTYPE DHT22
#define WARNING_LED 13
#define WARNING_TEMP 30.0

DHT dht(DHTPIN, DHTTYPE);
LiquidCrystal_I2C lcd(0x27, 16, 2);

void setup() {
  pinMode(WARNING_LED, OUTPUT);
  dht.begin();
  lcd.init();
  lcd.backlight();
  lcd.setCursor(0, 0);
  lcd.print(""Temp Monitor"");
  delay(2000);
}

void loop() {
  float temperature = dht.readTemperature();
  float humidity = dht.readHumidity();
  
  // Check if readings are valid
  if (isnan(temperature) || isnan(humidity)) {
    lcd.clear();
    lcd.setCursor(0, 0);
    lcd.print(""Sensor Error!"");
    return;
  }
  
  lcd.clear();
  lcd.setCursor(0, 0);
  lcd.print(""Temp: "");
  lcd.print(temperature, 1);
  lcd.print(""C"");
  
  lcd.setCursor(0, 1);
  lcd.print(""Humidity: "");
  lcd.print(humidity, 1);
  lcd.print(""%"");
  
  // Warning light for high temperature
  if (temperature > WARNING_TEMP) {
    digitalWrite(WARNING_LED, HIGH);
  } else {
    digitalWrite(WARNING_LED, LOW);
  }
  
  delay(2000);
}"
Multi-tone doorbell with button input and state management,"#define BUTTON_PIN 2
#define SPEAKER_PIN 8
#define LED_PIN 13

// Musical notes frequencies
#define NOTE_C5 523
#define NOTE_D5 587
#define NOTE_E5 659
#define NOTE_G5 784
#define NOTE_A5 880

volatile bool buttonPressed = false;
bool isPlaying = false;
unsigned long lastDebounceTime = 0;
unsigned long debounceDelay = 50;

void setup() {
  pinMode(BUTTON_PIN, INPUT_PULLUP);
  pinMode(SPEAKER_PIN, OUTPUT);
  pinMode(LED_PIN, OUTPUT);
  
  // Set up interrupt for button press
  attachInterrupt(digitalPinToInterrupt(BUTTON_PIN), buttonInterrupt, FALLING);
}

void loop() {
  // Debounce and handle button press
  if (buttonPressed && (millis() - lastDebounceTime > debounceDelay)) {
    buttonPressed = false;
    
    if (!isPlaying) {
      isPlaying = true;
      playDoorbell();
      isPlaying = false;
    }
  }
}

void playDoorbell() {
  // First melody pattern
  digitalWrite(LED_PIN, HIGH);
  playNote(NOTE_C5, 200);
  playNote(NOTE_G5, 200);
  playNote(NOTE_E5, 200);
  playNote(NOTE_A5, 400);
  
  delay(300);
  
  // Second melody pattern
  playNote(NOTE_D5, 200);
  playNote(NOTE_A5, 200);
  playNote(NOTE_G5, 600);
  digitalWrite(LED_PIN, LOW);
}

void playNote(int frequency, int duration) {
  for (long i = 0; i < duration * 1000L; i += frequency * 2) {
    digitalWrite(SPEAKER_PIN, HIGH);
    delayMicroseconds(frequency);
    digitalWrite(SPEAKER_PIN, LOW);
    delayMicroseconds(frequency);
  }
}

void buttonInterrupt() {
  buttonPressed = true;
  lastDebounceTime = millis();
}"
Multi-tasking LED controller with non-blocking operation,"#define LED1 9
#define LED2 10
#define LED3 11

unsigned long previousMillisLED1 = 0;
unsigned long previousMillisLED2 = 0;
unsigned long previousMillisLED3 = 0;

const long interval1 = 1000;  // 1 second
const long interval2 = 2500;  // 2.5 seconds
const long interval3 = 500;   // 0.5 seconds

int brightnessLED1 = 0;
int brightnessStepLED1 = 5;
bool stateLED2 = false;
int pulseCycleLED3 = 0;

void setup() {
  pinMode(LED1, OUTPUT);
  pinMode(LED2, OUTPUT);
  pinMode(LED3, OUTPUT);
  Serial.begin(9600);
  Serial.println(""Multi-tasking LED Controller"");
}

void loop() {
  unsigned long currentMillis = millis();
  
  // LED1: Fade in and out
  if (currentMillis - previousMillisLED1 >= interval1 / 50) {
    previousMillisLED1 = currentMillis;
    
    brightnessLED1 += brightnessStepLED1;
    if (brightnessLED1 <= 0 || brightnessLED1 >= 255) {
      brightnessStepLED1 = -brightnessStepLED1;
    }
    
    analogWrite(LED1, brightnessLED1);
  }
  
  // LED2: Binary counter (on/off pattern)
  if (currentMillis - previousMillisLED2 >= interval2) {
    previousMillisLED2 = currentMillis;
    stateLED2 = !stateLED2;
    digitalWrite(LED2, stateLED2);
    
    Serial.print(""LED2: "");
    Serial.println(stateLED2 ? ""ON"" : ""OFF"");
  }
  
  // LED3: Sine wave pulsing
  if (currentMillis - previousMillisLED3 >= interval3 / 100) {
    previousMillisLED3 = currentMillis;
    
    // Sine wave brightness (0-255)
    float sinVal = sin(radians(pulseCycleLED3));
    int brightness = 128 + (sinVal * 127);
    analogWrite(LED3, brightness);
    
    pulseCycleLED3 = (pulseCycleLED3 + 2) % 360;
  }
}"
Smart motion-activated lighting system with automatic dimming,"#define PIR_SENSOR 2
#define LIGHT_SENSOR A0
#define LED_PIN 9

// Configuration
const unsigned long MOTION_TIMEOUT = 30000; // 30 seconds
const unsigned long FADE_DURATION = 5000;   // 5 seconds
const int LIGHT_THRESHOLD = 300;           // Light sensor threshold
const int MAX_BRIGHTNESS = 255;

// State variables
volatile bool motionDetected = false;
unsigned long lastMotionTime = 0;
bool lightOn = false;
int currentBrightness = 0;
unsigned long fadeStartTime = 0;

void setup() {
  pinMode(PIR_SENSOR, INPUT);
  pinMode(LED_PIN, OUTPUT);
  pinMode(LIGHT_SENSOR, INPUT);
  
  // Attach interrupt for motion sensor
  attachInterrupt(digitalPinToInterrupt(PIR_SENSOR), motionInterrupt, RISING);
  
  Serial.begin(9600);
  Serial.println(""Smart Lighting System Initialized"");
}

void loop() {
  unsigned long currentTime = millis();
  int lightLevel = analogRead(LIGHT_SENSOR);
  
  // Only activate lights when it's dark enough
  bool isDarkEnough = (lightLevel < LIGHT_THRESHOLD);
  
  // Handle motion detection
  if (motionDetected) {
    lastMotionTime = currentTime;
    motionDetected = false;
    
    if (isDarkEnough && !lightOn) {
      // Turn on lights when motion detected in dark conditions
      lightOn = true;
      fadeStartTime = currentTime;
      Serial.println(""Motion detected - Turning lights on"");
    }
  }
  
  // Handle light state
  if (lightOn) {
    // Check if timeout period has elapsed since last motion
    if (currentTime - lastMotionTime > MOTION_TIMEOUT) {
      // Begin fading out
      if (currentBrightness == MAX_BRIGHTNESS) {
        fadeStartTime = currentTime;  
        Serial.println(""No motion - Fading lights out"");
      }
      
      // Calculate fade progress
      float fadeProgress = (float)(currentTime - fadeStartTime) / FADE_DURATION;
      if (fadeProgress >= 1.0) {
        // Fade complete, turn off the light
        lightOn = false;
        currentBrightness = 0;
      } else {
        // Gradually decrease brightness
        currentBrightness = MAX_BRIGHTNESS * (1.0 - fadeProgress);
      }
    } else {
      // Motion is recent, ensure full brightness
      currentBrightness = MAX_BRIGHTNESS;
    }
  } else if (motionDetected && isDarkEnough) {
    // Turn on with full brightness instantly on new motion
    currentBrightness = MAX_BRIGHTNESS;
    lightOn = true;
  }
  
  // Update LED brightness
  analogWrite(LED_PIN, currentBrightness);
  
  delay(20); // Small delay for stability
}

void motionInterrupt() {
  motionDetected = true;
}"
RGB LED color cycling with custom easing function,"#define RED_PIN 9
#define GREEN_PIN 10
#define BLUE_PIN 11

typedef struct {
  int r;
  int g;
  int b;
} RGBColor;

// Predefined colors
const RGBColor COLORS[] = {
  {255, 0, 0},    // Red
  {255, 127, 0},  // Orange
  {255, 255, 0},  // Yellow
  {0, 255, 0},    // Green
  {0, 0, 255},    // Blue
  {75, 0, 130},   // Indigo
  {148, 0, 211}   // Violet
};

const int NUM_COLORS = sizeof(COLORS) / sizeof(RGBColor);
const unsigned long TRANSITION_TIME = 3000; // 3 seconds per transition

RGBColor currentColor = {0, 0, 0};
int colorIndex = 0;
unsigned long transitionStartTime = 0;

void setup() {
  pinMode(RED_PIN, OUTPUT);
  pinMode(GREEN_PIN, OUTPUT);
  pinMode(BLUE_PIN, OUTPUT);
  
  transitionStartTime = millis();
}

void loop() {
  unsigned long currentTime = millis();
  float progress = (float)(currentTime - transitionStartTime) / TRANSITION_TIME;
  
  if (progress >= 1.0) {
    // Move to next color
    colorIndex = (colorIndex + 1) % NUM_COLORS;
    transitionStartTime = currentTime;
    progress = 0;
  }
  
  // Get source and target colors
  RGBColor fromColor = COLORS[colorIndex];
  RGBColor toColor = COLORS[(colorIndex + 1) % NUM_COLORS];
  
  // Apply cubic easing function for smoother transitions
  float easedProgress = cubicEaseInOut(progress);
  
  // Interpolate between colors
  currentColor.r = interpolate(fromColor.r, toColor.r, easedProgress);
  currentColor.g = interpolate(fromColor.g, toColor.g, easedProgress);
  currentColor.b = interpolate(fromColor.b, toColor.b, easedProgress);
  
  // Set LED color
  analogWrite(RED_PIN, currentColor.r);
  analogWrite(GREEN_PIN, currentColor.g);
  analogWrite(BLUE_PIN, currentColor.b);
  
  delay(10);
}

// Cubic easing function for smoother transitions
float cubicEaseInOut(float t) {
  if (t < 0.5) {
    return 4 * t * t * t;
  } else {
    float f = ((2 * t) - 2);
    return 0.5 * f * f * f + 1;
  }
}

// Linear interpolation between two values
int interpolate(int a, int b, float t) {
  return a + (int)((b - a) * t);
}"
